npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,793483571.109,35354543.2951,793483571.109,818483008.418,768484133.799,770984077.53,815983064.687,2.0,1249943731610000.0,0.25,0.249579831933,0.00779952408848,0.125002473607,98,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,788412676.154,4910066.93185,788412676.154,791884617.777,784940734.53,785287928.693,791537423.615,2.0,24108757275200.0,0.125,0.250420168067,0.00391254412062,0.124991342377,104,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,760134401.603,29219781.6305,760134401.603,780795907.339,739472895.868,741539046.441,778729756.765,2.0,853795638533000.0,0.25,0.249579831933,0.0155991253473,0.250006184017,87,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,746915779.362,28741637.4367,746915779.362,767239186.095,726592372.628,728624713.301,765206845.422,2.0,826081722544000.0,0.125,0.250420168067,0.00782543667679,0.249993815983,109,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,723090985.909,2534009.93717,723090985.909,724882801.519,721299170.299,721478351.86,724703619.958,2.0,6421206361700.0,0.25,0.249579831933,0.0155991253473,0.250006184017,92,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,667347087.893,13230822.521,667347087.893,676702692.218,657991483.568,658927044.0,675767131.786,2.0,175054664583000.0,0.25,0.125210084034,0.00782543667679,0.249993815983,81,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,667127048.321,20531748.0079,667127048.321,681645186.567,652608910.075,654060723.9,680193372.743,2.0,421552676261000.0,0.125,0.250420168067,0.00782582382741,0.250006184017,114,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,665165859.427,6628336.68538,665165859.427,669852801.245,660478917.608,660947611.79,669384107.063,2.0,43934847214800.0,0.25,0.249579831933,0.00779952408848,0.125002473607,97,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,642312241.206,12007340.9623,642312241.206,650802713.424,633821768.987,634670816.209,649953666.203,2.0,144176236985000.0,0.125,0.250420168067,0.00782582382741,0.250006184017,119,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,620596603.441,7344359.82756,620596603.441,625789850.078,615403356.803,615922681.467,625270525.415,2.0,53939621276700.0,0.25,0.125210084034,0.00391254412062,0.124991342377,76,2.78193391732e-13
