smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2953592313.74,613985.438259,-2953611538.99,-2952966255.84,-2954179921.15,-2954161153.27,-2952996558.87,4.0,376978118394.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,193
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2963639076.03,1039316.12966,-2964000514.85,-2962174945.42,-2964380329.01,-2964380092.15,-2962392045.57,4.0,1080178017360.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,172
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3003579523.13,466643.993651,-3003562581.87,-3003081341.82,-3004111586.94,-3004066195.18,-3003116568.83,4.0,217756616810.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,182
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3016496099.17,275763.485456,-3016540959.13,-3016161528.94,-3016740949.46,-3016735189.44,-3016194204.95,4.0,76045499911.1,9.302483829449999e-14,0.00154317773297,0.0555555555556,0.249994792742,0.111111111111,161
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3019072465.78,482540.352684,-3019157814.4,-3018415850.07,-3019558384.25,-3019512007.93,-3018513435.57,4.0,232845191969.0,9.302483829449999e-14,0.000771562567202,0.0555555555556,0.124993135887,0.111111111111,151
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3044124981.05,878315.997181,-3044240976.61,-3043009333.56,-3045008637.42,-3044947767.69,-3043139800.62,4.0,771438990904.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,192
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3054125065.09,1822615.83195,-3053731610.82,-3052637231.39,-3056399807.33,-3056159314.53,-3052641651.63,4.0,3321928470860.0,9.302483829449999e-14,0.00154323617583,0.0555555555556,0.250004260484,0.111111111111,171
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3074882368.73,711073.971959,-3074862079.15,-3074109428.78,-3075695887.85,-3075624566.56,-3074168576.32,4.0,505626193598.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,215
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3095249697.85,1507313.26673,-3095587285.49,-3093333689.54,-3096490530.88,-3096479521.24,-3093547251.77,4.0,2271993284060.0,9.302483829449999e-14,0.00154324202011,0.0555555555556,0.250005207258,0.111111111111,181
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3112388614.75,212968.040157,-3112367244.27,-3112155313.72,-3112664656.73,-3112627179.11,-3112179969.06,4.0,45355386128.4,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,225
