smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-399751126.8,7470036.24783,-400924554.594,-386722958.86,-408171386.584,-408158529.543,-388050704.851,10.0,55801441543900.0,0.125,0.249998372277,81,0.00781244913367,1.5260167010100002e-12,0.25
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-411887918.939,8467614.61913,-409473520.026,-400596424.41,-426941304.636,-423712908.572,-401745979.023,10.0,71700497338200.0,0.25,0.249998372277,108,0.00781244913367,1.5260167010100002e-12,0.125
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-425916581.916,2710413.86867,-425293086.539,-422088937.694,-430260983.034,-429909020.731,-422646804.876,10.0,7346343339470.0,0.25,0.250001331773,37,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-440877123.705,4929829.56134,-441631225.559,-432384577.084,-446910668.546,-446679813.785,-433846751.733,10.0,24303219503800.0,0.125,0.250001331773,36,0.00781254161791,1.5260167010100002e-12,0.25
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-442639534.095,7066812.54441,-441980741.233,-433848309.319,-453505902.472,-452166639.466,-434261190.937,10.0,49939839537800.0,0.25,0.249998372277,107,0.00781244913367,1.5260167010100002e-12,0.125
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-465204720.277,4240393.76035,-465070898.73,-456685662.253,-470765131.63,-470246330.462,-458924081.15,10.0,17980939242800.0,0.25,0.250001331773,63,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-479850381.262,5568905.42292,-477897404.842,-473771263.352,-492972620.052,-489730987.858,-474977993.741,10.0,31012707609500.0,0.25,0.250001331773,62,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,422372.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-480113403.969,6147830.91362,-479604752.113,-467894612.201,-487978530.085,-487574618.543,-471590679.691,10.0,37795824942500.0,0.125,0.249998372277,106,0.00390622456683,1.5260167010100002e-12,0.125
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-499462614.323,10245391.1801,-495970764.157,-489522771.945,-520229184.2,-516622349.018,-489909557.31,10.0,104968040433000.0,0.25,0.250001331773,89,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-505220327.823,3883028.54839,-504743113.343,-501041182.49,-514517778.558,-511554019.532,-501261660.918,10.0,15077910707600.0,0.125,0.250001331773,61,0.00781254161791,1.5260167010100002e-12,0.25
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-524223824.902,4935128.46313,-523377811.806,-519088296.851,-536462930.151,-531975401.59,-519634657.362,10.0,24355492947600.0,0.25,0.250001331773,88,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-541297003.067,5264679.86716,-541682558.304,-533094906.257,-547690103.005,-547306855.152,-533967268.655,10.0,27716854103700.0,0.125,0.250001331773,115,0.00390627080895,1.5260167010100002e-12,0.125
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-550737222.503,4196093.51959,-550486173.871,-544705799.493,-559808062.872,-556949173.229,-545770568.323,10.0,17607200825200.0,0.25,0.250001331773,87,0.0156250832358,1.5260167010100002e-12,0.25
240.0,-225.0,-5657.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-561159432.485,910577.588999,-560964958.667,-559870421.167,-562980803.218,-562528302.175,-560153093.54,10.0,829151545587.0,0.125,0.250001627723,16,0.00390627543317,1.5260167010100002e-12,0.125
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-566318937.341,8369289.54221,-564968669.41,-551209990.809,-578903731.318,-578697782.718,-555690212.149,10.0,70045007441300.0,0.25,0.250001331773,114,0.00781254161791,1.5260167010100002e-12,0.125
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-578645179.229,6762758.77902,-581954416.972,-569925757.156,-585970346.191,-585795603.862,-570355748.13,10.0,45734906303200.0,0.125,0.250001331773,86,0.00781254161791,1.5260167010100002e-12,0.25
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-594185141.72,7811379.63313,-596540947.643,-580940662.086,-604385253.914,-602572653.885,-581459159.207,10.0,61017651772900.0,0.25,0.250001331773,113,0.00781254161791,1.5260167010100002e-12,0.125
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-600411350.829,2636615.51853,-600364998.59,-596609669.903,-605365277.52,-604175110.385,-596770125.702,10.0,6951741392560.0,0.25,0.250001627723,42,0.0156251017327,1.5260167010100002e-12,0.25
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-620484944.33,7576234.31266,-619220428.733,-608508558.895,-634930704.194,-631659135.17,-610526586.796,10.0,57399326360300.0,0.25,0.250001331773,112,0.00781254161791,1.5260167010100002e-12,0.125
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-620502226.078,4405360.56562,-620622512.753,-612211540.478,-626761122.574,-626094480.723,-613840929.099,10.0,19407201713100.0,0.125,0.250001627723,41,0.00781255086633,1.5260167010100002e-12,0.25
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-641332774.776,4952087.73758,-641382429.661,-634442896.996,-649743737.267,-648586495.256,-634830525.731,10.0,24523172960700.0,0.25,0.250001627723,68,0.0156251017327,1.5260167010100002e-12,0.25
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-661136930.153,6238077.97325,-659847371.269,-652300338.242,-669732664.109,-669629810.291,-653398918.897,10.0,38913616800300.0,0.25,0.250001627723,67,0.0156251017327,1.5260167010100002e-12,0.25
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,844743.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-664735716.748,10622558.5256,-664688478.286,-647144606.05,-681884373.544,-678787220.978,-649432150.286,10.0,112838749629000.0,0.125,0.250001331773,111,0.00390627080895,1.5260167010100002e-12,0.125
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-675497496.364,5182813.13269,-674990970.295,-666923830.352,-683852517.318,-683406816.732,-668249577.047,10.0,26861551968400.0,0.25,0.250001627723,94,0.0156251017327,1.5260167010100002e-12,0.25
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-689587810.597,4918035.12497,-689480581.47,-681639645.625,-697624338.814,-696685370.907,-682653865.931,10.0,24187069490400.0,0.125,0.250001627723,66,0.00781255086633,1.5260167010100002e-12,0.25
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-710578736.945,9341314.07897,-709484150.265,-695030600.741,-727313898.135,-724349091.696,-697802324.642,10.0,87260148722000.0,0.25,0.250001627723,93,0.0156251017327,1.5260167010100002e-12,0.25
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1267115.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-716247230.704,6642209.42906,-714118086.303,-709308693.331,-727168463.928,-726536146.51,-709548494.278,10.0,44118946099600.0,0.125,0.250001627723,120,0.00390627543317,1.5260167010100002e-12,0.125
