smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-650276875.939,7972228.67162,-648616158.153,-643589108.573,-660286078.875,-659208445.249,-643670311.527,4.0,63556429992700.0,0.00391304202267,110,0.249999055196,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-665989229.717,27972517.3956,-658854680.823,-640412679.124,-705834878.098,-698993134.273,-642973693.613,4.0,782461729449000.0,0.00391300948845,76,0.124998488314,0.125226860254,0.249981948155,4.95258127397e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-673631557.52,13768242.5807,-676055251.037,-657305631.143,-685110096.862,-685087847.972,-658782096.143,4.0,189564503760000.0,0.0155954573367,82,0.249999055196,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-688078566.156,24419062.2405,-677650182.217,-672806415.88,-724207484.309,-717831640.036,-672925229.79,4.0,596290600703000.0,0.00782727349068,61,0.250000944804,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-710407229.921,12378713.6024,-708374849.539,-697624119.742,-727255100.865,-724639859.877,-699019932.5,4.0,153232550451000.0,0.00389883191784,103,0.124998488314,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-716154719.927,27867970.9525,-707461097.108,-693289182.247,-756407503.244,-749698338.63,-694782173.169,4.0,776623805011000.0,0.015652286397,89,0.250000944804,0.250453720508,0.249981948155,4.95258127397e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-758832975.302,16899081.9723,-754630511.053,-744982844.477,-781088034.625,-778348590.485,-745200810.067,4.0,285578971507000.0,0.0155978276082,68,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-778487943.139,18720449.7485,-777531307.841,-760453667.128,-798435489.745,-797216096.131,-761099079.564,4.0,350455238788000.0,0.00782608404535,109,0.249999055196,0.250453720508,0.124990974078,4.95258127397e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-798702637.835,17644321.2263,-793518132.019,-783678271.927,-824096015.376,-819838869.244,-784824714.569,4.0,311322071537000.0,0.00779891969886,47,0.125000566882,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-812811074.071,8279687.23481,-813120224.802,-804224327.976,-820779518.705,-820506810.786,-804682526.333,4.0,68553220706200.0,0.00782608404535,81,0.249999055196,0.125226860254,0.249981948155,4.95258127397e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-819503003.709,19728095.014,-821883381.581,-797673919.772,-836571331.901,-836458539.02,-799214939.376,4.0,389197732882000.0,0.0155955752144,88,0.250000944804,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-845504869.647,8620658.38655,-843383925.348,-837891868.465,-857359759.428,-855680349.848,-838298711.465,4.0,74315751017600.0,0.0155978276082,67,0.250000944804,0.249546279492,0.250018051845,4.95258127397e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-863535439.965,12854114.2362,-861428394.323,-851872395.102,-879412576.114,-877768667.659,-852252076.171,4.0,165228252798000.0,0.00389883191784,102,0.124998488314,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-883586791.631,9938209.2198,-882825157.845,-872542130.574,-896154720.261,-894568895.328,-873670975.236,4.0,98768002496500.0,0.00391363970343,46,0.125000566882,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-951178742.198,6500455.83127,-951383785.297,-943091693.404,-958855704.795,-957897429.247,-944172994.811,4.0,42255926014300.0,0.0155955752144,87,0.250000944804,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-959332494.294,38011795.9703,-946308977.013,-929600034.915,-1015111988.23,-1004824195.41,-932073717.374,4.0,1444896632890000.0,0.00391307159924,115,0.250000944804,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-974917914.367,13571230.9416,-974138807.79,-959485382.063,-991908659.825,-989767886.535,-961158691.407,4.0,184178309270000.0,0.00782727349068,66,0.250000944804,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-975431994.708,36976105.5749,-968288852.072,-943234930.799,-1021915343.89,-1016875671.1,-943988718.007,4.0,1367232383480000.0,0.00779772866837,108,0.249999055196,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-984849600.684,21154855.7418,-978976333.992,-966897121.496,-1014548613.25,-1010095546.44,-967826228.3,4.0,447527921458000.0,0.015652286397,94,0.250000944804,0.250453720508,0.249981948155,4.95258127397e-14
