smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1397040159.17,27790213.1937,-1394093238.94,-1359639293.99,-1446705677.98,-1434637266.37,-1364916382.71,10.0,772295949352000.0,0.249999574839,85,0.249981948155,2.4762864257000002e-14,0.00782610031248,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1430274101.78,11685961.2919,-1432929924.16,-1408948776.14,-1447281882.24,-1444058028.82,-1412957492.33,10.0,136561691316000.0,0.124999315018,52,0.250018051845,2.4762864257000002e-14,0.00779884159372,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1438560098.82,36217435.0944,-1444292308.28,-1357528759.97,-1476728753.29,-1475211978.32,-1382232441.26,10.0,1311702604820000.0,0.249999574839,57,0.250018051845,2.4762864257000002e-14,0.0155977421347,0.249546279492
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1440795452.4,29440470.9058,-1441383003.57,-1404340061.4,-1478249824.84,-1475682240.68,-1405803537.33,10.0,866741327155000.0,0.250000425161,43,0.250018051845,2.4762864257000002e-14,0.0155977951872,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1465523462.17,21156572.505,-1463592767.65,-1421142471.01,-1492784588.31,-1491466440.86,-1436015287.73,10.0,447600560160000.0,0.124999315018,79,0.249981948155,2.4762864257000002e-14,0.00782607073597,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1508030914.81,51042838.7475,-1521625670.55,-1403038190.96,-1558832585.66,-1558002538.59,-1422496358.16,10.0,2605371387410000.0,0.249999574839,84,0.249981948155,2.4762864257000002e-14,0.015652200625,0.250453720508
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1527113754.2,44294247.2842,-1519956614.67,-1463926341.67,-1606602826.92,-1600509486.49,-1476005508.59,10.0,1961980342470000.0,0.12500016534,22,0.124990974078,2.4762864257000002e-14,0.00389888422603,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1527470107.86,46518991.5675,-1531665555.55,-1463357672.69,-1623052526.56,-1595600926.04,-1470044666.73,10.0,2164016576460000.0,0.250000519641,63,0.250018051845,2.4762864257000002e-14,0.0155978010819,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1560524161.59,27562773.9188,-1564832615.78,-1517084339.02,-1599017688.72,-1595019116.39,-1521385539.84,10.0,759706506096000.0,0.249999574839,56,0.250018051845,2.4762864257000002e-14,0.00782723059849,0.125226860254
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1581476586.66,16329783.0481,-1581561462.37,-1555126585.42,-1613334047.03,-1604255947.55,-1560507290.0,10.0,266661814397000.0,0.124999315018,51,0.250018051845,2.4762864257000002e-14,0.00391360050885,0.125226860254
