npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2767113817.17,2685335.0025299997,2767433053.1,2769593049.92,2763996112.53,2764261495.8,2769519208.21,4.0,7211024075800.0,163,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2765647479.1,4424000.134819999,2766592647.36,2769952143.2,2759452478.5,2760508324.88,2769463397.77,4.0,19571777192900.0,118,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2765457882.74,907753.8706629999,2765177192.16,2766769425.94,2764707720.7,2764759290.23,2766549442.06,4.0,824017089703.0,127,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2763622465.8,4000951.4169099997,2763426912.34,2768654968.55,2758981069.97,2759537835.94,2767980870.5,4.0,16007612240500.0,109,0.10345395413899999,0.111122894195,4.61981158295e-13,0.0555555555556,0.0006386723777690001
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2753012586.71,2302820.39547,2752167596.0,2756399591.78,2751315563.06,2751405238.17,2755802922.24,4.0,5302981773810.0,100,0.10345395413899999,0.111072395265,4.61981158295e-13,0.0555555555556,0.000638382138107
1193.0,-985.0,-22243.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,2722711939.79,3391004.36387,2724142528.41,2724865844.73,2717696857.63,2718580650.45,2724840405.07,4.0,11498910595800.0,91,0.10345395413899999,0.0555084232214,4.61981158295e-13,0.0555555555556,0.000319031437239
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2703404206.1,1554671.85702,2703169332.94,2705275420.8,2702002737.73,2702040449.36,2705096785.28,4.0,2417004583010.0,228,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2701307080.8,2892454.9915400003,2701619187.47,2704272636.15,2697717312.12,2698112172.9,2704065039.37,4.0,8366295878060.0,246,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2699926825.24,4989357.50771,2699552123.36,2705465850.85,2695137203.4,2695315950.41,2705062282.71,4.0,24893688339800.0,237,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2699679877.36,7807422.03655,2701323208.77,2706636942.76,2689436149.15,2690698168.96,2706360921.8,4.0,60955838856700.0,201,0.10345395413899999,0.111122894195,4.61981158295e-13,0.111111111111,0.0012773447555399998
