smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,256753464.224,3404776.93126,256753464.224,259161005.08,254345923.367,254586677.453,258920250.995,2.0,11592505951600.0,123,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,250212341.789,2363565.36036,250212341.789,251883634.883,248541048.695,248708178.004,251716505.574,2.0,5586441212700.0,113,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,232434563.53,9335185.17871,232434563.53,239035536.274,225833590.787,226493688.061,238375439.0,2.0,87145682320700.0,67,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,222489413.324,5618951.85368,222489413.324,226462612.283,218516214.365,218913534.261,226065292.387,2.0,31572619934000.0,103,0.0556451612903,0.111128939092,0.000687083195693,0.111110410739,1.83804491715e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,200563934.927,10432529.9628,200563934.927,207940847.608,193187022.245,193924713.513,207203156.34,2.0,108837681426000.0,25,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,191956989.417,52486795.329,191956989.417,229070758.317,154843220.517,158554597.407,225359381.427,2.0,2754863683910000.0,46,0.110483870968,0.111096848726,0.000681902459032,0.0555548058612,1.83804491715e-14
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,186362932.262,9147595.22414,186362932.262,192831258.876,179894605.647,180541438.309,192184426.215,2.0,83678498384700.0,134,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,186235893.159,24000627.4795,186235893.159,203206899.602,169264886.715,170961987.359,201509798.958,2.0,576030119408000.0,4,0.0556451612903,0.111096848726,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,184009144.93,6297271.44692,184009144.93,188461988.273,179556301.587,180001585.921,188016703.939,2.0,39655627676200.0,201,0.0556451612903,0.055548424363,0.00034344513856,0.111111298535,1.83804491715e-14
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,168266775.771,26750847.7718,168266775.771,187182481.633,149351069.909,151242640.495,185290911.047,2.0,715607856510000.0,124,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-185.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,159237393.944,42191620.1037,159237393.944,189071374.628,129403413.259,132386811.327,186087976.56,2.0,1780132806980000.0,78,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,127874201.255,8814369.95778,127874201.255,134106902.024,121641500.486,122264770.563,133483631.947,2.0,77693117752600.0,114,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,126835045.85,59228877.7799,126835045.85,168716186.97,84953904.7296,89142018.8416,164528072.858,2.0,3508059963060000.0,15,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,111295190.779,60828943.6514,111295190.779,154307749.327,68282632.2302,72583888.085,150006493.472,2.0,3700160385750000.0,89,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,107363881.467,20716315.0358,107363881.467,122012528.31,92715234.6244,94180099.3087,120547663.626,2.0,429165708663000.0,145,0.110483870968,0.111096848726,0.00136381472552,0.111110410739,1.83804491715e-14
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,99282012.254,11280141.5135,99282012.254,107258276.811,91305747.697,92103374.1527,106460650.355,2.0,127241592565000.0,57,0.110483870968,0.111128939092,0.000682099426813,0.0555548058612,1.83804491715e-14
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,93449321.1508,2320823.35156,93449321.1508,95090391.0806,91808251.221,91972358.214,94926284.0877,2.0,5386221029160.0,36,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,86738670.2759,9586982.72961,86738670.2759,93517690.7751,79959649.7767,80637551.8266,92839788.7252,2.0,91910237857800.0,212,0.111290322581,0.111128939092,0.00137417737127,0.111111298535,1.83804491715e-14
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,75667339.7921,3457810.35451,75667339.7921,78112380.9418,73222298.6423,73466802.7573,77867876.8268,2.0,11956452447700.0,135,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,74998614.0565,5565507.4035,74998614.0565,78934022.0823,71063206.0308,71456746.8333,78540481.2797,2.0,30974872658400.0,202,0.0556451612903,0.111128939092,0.000687088685635,0.111111298535,1.83804491715e-14
720.0,-47.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,64846784.8742,34524738.4019,64846784.8742,89259461.5168,40434108.2315,42875375.8958,86818193.8525,2.0,1191957561720000.0,100,0.0556451612903,0.055548424363,0.000171719962311,0.0555548058612,1.83804491715e-14
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,64370146.0311,5560815.34711,64370146.0311,68302236.2719,60438055.7902,60831264.8143,67909027.2478,2.0,30922667324600.0,104,0.0556451612903,0.111096848726,0.000686884788764,0.111110410739,1.83804491715e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,61057741.6894,48234840.7287,61057741.6894,95164924.6581,26950558.7207,30361277.0175,91754206.3612,2.0,2326599860120000.0,47,0.110483870968,0.111128939092,0.000682099426813,0.0555548058612,1.83804491715e-14
720.0,-254.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,59378716.3367,22860365.9019,59378716.3367,75543436.0864,43213996.5871,44830468.562,73926964.1114,2.0,522596329169000.0,68,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,41369563.9215,17030490.1502,41369563.9215,53411938.9936,29327188.8493,30531426.3566,52207701.4864,2.0,290037594755000.0,26,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,41136127.8338,25372464.517,41136127.8338,59077169.5492,23195086.1185,24989190.29,57283065.3776,2.0,643761955664000.0,125,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,35564165.065,8551146.08513,35564165.065,41610738.4487,29517591.6813,30122249.0196,41006081.1103,2.0,73122099369200.0,156,0.110483870968,0.111096848726,0.00136381472552,0.111110410739,1.83804491715e-14
720.0,-185.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,32659773.5494,8266132.57574,32659773.5494,38504811.9479,26814735.151,27399238.9908,37920308.1081,2.0,68328947759700.0,79,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,20006988.9691,17394816.7834,20006988.9691,32306981.8741,7706996.06399,8936995.3545,31076982.5836,2.0,302579650929000.0,5,0.0556451612903,0.111096848726,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,9068329.73783,31491768.817,9068329.73783,31336373.0199,-13199713.5442,-10972909.216,29109568.6917,2.0,991731503223000.0,223,0.111290322581,0.111128939092,0.00137417737127,0.111111298535,1.83804491715e-14
720.0,-116.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,3398127.45607,20307866.0073,3398127.45607,17757957.2212,-10961702.3091,-9525719.33258,16321974.2447,2.0,412409421769000.0,90,0.111290322581,0.055548424363,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-323.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-4575733.49176,64175259.7377,-4575733.49176,40803027.8532,-49954494.8367,-45416618.7022,36265151.7187,2.0,4118463962400000.0,58,0.110483870968,0.111128939092,0.000682099426813,0.0555548058612,1.83804491715e-14
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-11755804.4198,9666149.14066,-11755804.4198,-4920804.81443,-18590804.0251,-17907304.0645,-5604304.77496,2.0,93434439209500.0,115,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-13234673.8724,3309678.52579,-13234673.8724,-10894377.7433,-15574970.0015,-15340940.3886,-11128407.3562,2.0,10953971944100.0,213,0.111290322581,0.111128939092,0.00137417737127,0.111111298535,1.83804491715e-14
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-28055559.8157,518639.702247,-28055559.8157,-27688826.1652,-28422293.4661,-28385620.1011,-27725499.5303,2.0,268987140747.0,146,0.110483870968,0.111096848726,0.00136381472552,0.111110410739,1.83804491715e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-35395419.3219,20141898.0251,-35395419.3219,-21152946.6423,-49637892.0014,-48213644.7334,-22577193.9103,2.0,405696056055000.0,167,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-598.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-38391782.2395,24000785.0657,-38391782.2395,-21420664.3657,-55362900.1132,-53665788.3258,-23117776.1531,2.0,576037683770000.0,16,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-40673464.3102,8513094.81611,-40673464.3102,-34653797.2369,-46693131.3836,-46091164.6762,-35255763.9442,2.0,72472783348100.0,203,0.0556451612903,0.111128939092,0.000687088685635,0.111111298535,1.83804491715e-14
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-47997887.0495,13764066.1804,-47997887.0495,-38265222.5167,-57730551.5824,-56757285.1291,-39238488.97,2.0,189449517819000.0,136,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-52800723.4501,14064138.3675,-52800723.4501,-42855875.8389,-62745571.0612,-61751086.3001,-43850360.6,2.0,197799988019000.0,234,0.111290322581,0.111096848726,0.00137378055424,0.111111298535,1.83804491715e-14
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-63348624.5949,24480578.1502,-63348624.5949,-46038241.7775,-80659007.4123,-78927969.1306,-47769280.0593,2.0,599298706569000.0,157,0.110483870968,0.111128939092,0.00136420866391,0.111110410739,1.83804491715e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-65786105.4779,1383766.56976,-65786105.4779,-64807634.7528,-66764576.2029,-66666729.1304,-64905481.8253,2.0,1914809919590.0,301,0.0556451612903,0.055548424363,0.00034344513856,0.111111298535,1.83804491715e-14
720.0,-460.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-67873976.2825,23738308.0245,-67873976.2825,-51088457.7045,-84659494.8605,-82980943.0027,-52767009.5623,2.0,563507267865000.0,37,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-86828294.9578,7957157.88341,-86828294.9578,-81201734.6595,-92454855.2561,-91892199.2263,-81764390.6893,2.0,63316361581500.0,224,0.111290322581,0.111096848726,0.00137378055424,0.111111298535,1.83804491715e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-94785379.6423,21317424.7658,-94785379.6423,-79711684.0329,-109859075.252,-108351705.691,-81219053.5939,2.0,454432598647000.0,105,0.0556451612903,0.111096848726,0.000686884788764,0.111110410739,1.83804491715e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-96720076.072,4882216.90386,-96720076.072,-93267827.392,-100172324.752,-99827099.8839,-93613052.26,2.0,23836041896400.0,69,0.111290322581,0.111096848726,0.000686879849244,0.0555548058612,1.83804491715e-14
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-97009454.3701,24891551.0925,-97009454.3701,-79408469.7983,-114610438.942,-112850340.485,-81168568.2555,2.0,619589315792000.0,126,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-391.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-101871197.273,57976947.9781,-101871197.273,-60875304.205,-142867090.341,-138767501.034,-64974893.5118,2.0,3361326496860000.0,48,0.110483870968,0.111128939092,0.000682099426813,0.0555548058612,1.83804491715e-14
720.0,-667.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-113405348.259,5952886.86265,-113405348.259,-109196021.591,-117614674.927,-117193742.261,-109616954.258,2.0,35436861999500.0,6,0.0556451612903,0.111096848726,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-185.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-114130950.825,11214071.4561,-114130950.825,-106201404.854,-122060496.797,-121267542.199,-106994359.451,2.0,125755398622000.0,80,0.111290322581,0.055548424363,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-128391681.591,28374616.0325,-128391681.591,-108327798.181,-148455565.001,-146449176.66,-110334186.522,2.0,805118834992000.0,147,0.110483870968,0.111128939092,0.00136420866391,0.111110410739,1.83804491715e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-128873921.837,616004.597213,-128873921.837,-128438340.809,-129309502.865,-129265944.762,-128481898.912,2.0,379461663788.0,27,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-137020168.293,22207970.4395,-137020168.293,-121316761.799,-152723574.787,-151153234.138,-122887102.448,2.0,493193951040000.0,214,0.111290322581,0.111096848726,0.00137378055424,0.111111298535,1.83804491715e-14
720.0,-185.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-141680578.531,2836362.02456,-141680578.531,-139674967.71,-143686189.353,-143485628.271,-139875528.792,2.0,8044949534350.0,178,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-157868432.239,23125655.7164,-157868432.239,-141516124.263,-174220740.216,-172585509.418,-143151355.06,2.0,534795952313000.0,189,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-323.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-160581431.584,34545059.4773,-160581431.584,-136154385.771,-185008477.397,-182565772.815,-138597090.352,2.0,1193361134290000.0,59,0.110483870968,0.111096848726,0.000681902459032,0.0555548058612,1.83804491715e-14
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-162181276.904,2498529.8598,-162181276.904,-160414549.497,-163948004.311,-163771331.57,-160591222.237,2.0,6242651460330.0,312,0.111290322581,0.111128939092,0.00137417737127,0.111111298535,1.83804491715e-14
720.0,-460.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-165301861.258,19569843.0741,-165301861.258,-151463892.514,-179139830.003,-177756033.128,-152847689.388,2.0,382978757947000.0,137,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-169957433.411,15680698.8173,-169957433.411,-158869504.944,-181045361.879,-179936569.032,-159978297.79,2.0,245884315398000.0,245,0.110483870968,0.111096848726,0.00136382562269,0.111111298535,1.83804491715e-14
720.0,-254.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-170725572.869,57437088.0477,-170725572.869,-130111418.419,-211339727.319,-207278311.874,-134172833.864,2.0,3299019083390000.0,168,0.111290322581,0.111128939092,0.00137416639139,0.111110410739,1.83804491715e-14
720.0,-598.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-175106033.347,6757899.913,-175106033.347,-170327476.492,-179884590.202,-179406734.516,-170805332.177,2.0,45669211234100.0,116,0.111290322581,0.111096848726,0.00137376957753,0.111110410739,1.83804491715e-14
720.0,-460.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-175121864.463,23652713.9119,-175121864.463,-158396870.063,-191846858.864,-190174359.424,-160069369.503,2.0,559450875397000.0,38,0.111290322581,0.111128939092,0.000687078254746,0.0555548058612,1.83804491715e-14
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-175639928.68,5373598.46258,-175639928.68,-171840220.768,-179439636.592,-179059665.801,-172220191.559,2.0,28875560437000.0,235,0.111290322581,0.111096848726,0.00137378055424,0.111111298535,1.83804491715e-14
720.0,-254.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-183479713.615,7303618.19853,-183479713.615,-178315275.66,-188644151.57,-188127707.775,-178831719.455,2.0,53342838789900.0,70,0.111290322581,0.055548424363,0.000343439924622,0.0555548058612,1.83804491715e-14
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-186136568.156,20646084.5766,-186136568.156,-171537581.747,-200735554.565,-199275655.924,-172997480.388,2.0,426260808343000.0,204,0.0556451612903,0.111096848726,0.00068689027712,0.111111298535,1.83804491715e-14
720.0,-323.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-187057550.858,43794148.7354,-187057550.858,-156090411.311,-218024690.405,-214927976.45,-159187125.265,2.0,1917927463460000.0,158,0.110483870968,0.111128939092,0.00136420866391,0.111110410739,1.83804491715e-14
