smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-799938519.008,9104188.54652,-799938519.008,-793500885.55,-806376152.467,-805732389.121,-794144648.896,2.0,82886249090700.0,0.125,50,0.249999200982,0.00390628765767,0.12500160456,0.0
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-802893994.429,19599141.6407,-802893994.429,-789035308.469,-816752680.389,-815366811.793,-790421177.065,2.0,384126353053000.0,0.125,53,0.250000799018,0.00781252496931,0.25,3.6761913905299995e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-826682912.628,9123015.03391,-826682912.628,-820231966.832,-833133858.423,-832488763.843,-820877061.412,2.0,83229403308900.0,0.25,88,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-840112328.687,3887366.18774,-840112328.687,-837363545.695,-842861111.679,-842586233.38,-837638423.994,2.0,15111615877600.0,0.25,69,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-846354915.465,7199782.76811,-846354915.465,-841263900.247,-851445930.684,-850936829.162,-841773001.769,2.0,51836871907900.0,0.25,34,0.249999200982,0.0156249500614,0.25,3.6761913905299995e-14
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-888401310.103,19475050.8396,-888401310.103,-874630369.59,-902172250.615,-900795156.564,-876007463.641,2.0,379277605204000.0,0.25,15,0.124998712693,0.00390625991364,0.12500160456,0.0
720.0,-667.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,2815967.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-925175272.996,19313875.2492,-925175272.996,-911518300.836,-938832245.155,-937466547.939,-912883998.052,2.0,373025777141000.0,0.125,102,0.125000488289,0.00390626525902,0.25,3.6761913905299995e-14
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,2111975.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-965089681.288,36183236.1745,-965089681.288,-939504269.624,-990675092.953,-988116551.786,-942062810.791,2.0,1309226580060000.0,0.25,83,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,1407984.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-987964633.042,17888187.2582,-987964633.042,-975315774.529,-1000613491.56,-999348605.704,-976580660.38,2.0,319987243386000.0,0.25,64,0.250000799018,0.0156250499386,0.25,3.6761913905299995e-14
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,703992.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-993641077.786,31791860.8402,-993641077.786,-971160837.399,-1016121318.17,-1013873294.13,-973408861.438,2.0,1010722415680000.0,0.25,45,0.249999200982,0.00781257531534,0.12500160456,0.0
