smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-144607099.519,1071065.86859,-144607099.519,-143849741.581,-145364457.458,-145288721.664,-143925477.375,2.0,1147182094850.0,0.0156246325691,0.25,0.249994121105,84,0.25,2.43433201164e-13
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-153990312.733,3636736.67907,-153990312.733,-151418751.566,-156561873.901,-156304717.784,-151675907.683,2.0,13225853672900.0,0.00781268371546,0.25,0.250005878895,66,0.125,2.43433201164e-13
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-188978358.396,19841.1215555,-188978358.396,-188964328.605,-188992388.188,-188990985.209,-188965731.584,2.0,393670104.58,0.0156253674309,0.25,0.250005878895,89,0.25,2.43433201164e-13
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-199933125.343,1657781.62639,-199933125.343,-198760896.713,-201105353.973,-200988131.11,-198878119.576,2.0,2748239920800.0,0.00390634185773,0.25,0.125002939447,71,0.125,2.43433201164e-13
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-234501932.351,1349708.96659,-234501932.351,-233547543.988,-235456320.714,-235360881.878,-233642982.824,2.0,1821714294490.0,0.0156253674309,0.25,0.250005878895,94,0.25,2.43433201164e-13
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-276412534.422,1164265.987,-276412534.422,-275589274.047,-277235794.796,-277153468.759,-275671600.084,2.0,1355515288480.0,0.0156246325691,0.25,0.249994121105,83,0.25,2.43433201164e-13
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-277561804.299,1498527.85976,-277561804.299,-276502185.088,-278621423.511,-278515461.59,-276608147.009,2.0,2245585746470.0,0.00781268371546,0.25,0.125002939447,99,0.25,2.43433201164e-13
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-284178360.555,1083395.66034,-284178360.555,-283412284.136,-284944436.973,-284867829.331,-283488891.778,2.0,1173746156840.0,0.00781194885362,0.25,0.124991181658,78,0.25,2.43433201164e-13
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-321887108.049,2029930.68379,-321887108.049,-320451730.297,-323322485.801,-323178948.026,-320595268.073,2.0,4120618580980.0,0.0156253674309,0.25,0.250005878895,88,0.25,2.43433201164e-13
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-370819056.381,347361.681336,-370819056.381,-370573434.581,-371064678.181,-371040116.001,-370597996.761,2.0,120660137661.0,0.0156253674309,0.25,0.250005878895,93,0.25,2.43433201164e-13
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-415043254.158,2087237.49643,-415043254.158,-413567354.371,-416519153.946,-416371563.967,-413714944.349,2.0,4356560366510.0,0.00781268371546,0.25,0.125002939447,98,0.25,2.43433201164e-13
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-436106681.857,1543313.33497,-436106681.857,-435015394.532,-437197969.181,-437088840.449,-435124523.264,2.0,2381816049890.0,0.0156246325691,0.25,0.249994121105,82,0.25,2.43433201164e-13
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-466147859.564,2113838.72909,-466147859.564,-464653149.864,-467642569.263,-467493098.293,-464802620.834,2.0,4468314172610.0,0.00781194885362,0.25,0.124991181658,77,0.25,2.43433201164e-13
