smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239828561.396,4258673.66482,-239828561.396,-236817224.369,-242839898.424,-242538764.721,-237118358.072,2.0,18136301383500.0,0.249546279492,1.83230531396e-13,0.00779801591193,14,0.25,0.124995105963
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-261079788.213,3227353.88904,-261079788.213,-258797704.393,-263361872.033,-263133663.651,-259025912.775,2.0,10415813125100.0,0.249546279492,1.83230531396e-13,0.015596424381,39,0.25,0.249996504259
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-283855475.17,1648935.3852,-283855475.17,-282689501.778,-285021448.563,-284904851.224,-282806099.117,2.0,2718987904580.0,0.125226860254,1.83230531396e-13,0.00782565798392,53,0.249963898917,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-287414466.194,7532350.42458,-287414466.194,-282088290.13,-292740642.257,-292208024.651,-282620907.737,2.0,56736302918700.0,0.125226860254,1.83230531396e-13,0.00391384975812,50,0.125018050542,0.249996504259
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-300223462.07,130128.468597,-300223462.07,-300131447.347,-300315476.792,-300306275.32,-300140648.819,2.0,16933418339.4,0.249546279492,1.83230531396e-13,0.0155968605555,94,0.25,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-302812104.822,2294590.50005,-302812104.822,-301189584.319,-304434625.325,-304272373.274,-301351836.37,2.0,5265145562910.0,0.250453720508,1.83230531396e-13,0.00782563609905,108,0.249963898917,0.125001398296
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-334008682.778,717397.00374,-334008682.778,-333501406.492,-334515959.065,-334465231.436,-333552134.121,2.0,514658460975.0,0.249546279492,1.83230531396e-13,0.0155968605555,64,0.25,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-359470967.955,3622845.04815,-359470967.955,-356909229.655,-362032706.256,-361776532.426,-357165403.485,2.0,13125006242900.0,0.125226860254,1.83230531396e-13,0.00782565798392,78,0.249963898917,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-364294215.011,5529086.39817,-364294215.011,-360384560.525,-368203869.497,-367812904.048,-360775525.974,2.0,30570796398400.0,0.125226860254,1.83230531396e-13,0.00391395921408,75,0.125018050542,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-365716901.059,1339150.44598,-365716901.059,-364769978.698,-366663823.421,-366569131.184,-364864670.934,2.0,1793323916970.0,0.249546279492,1.83230531396e-13,0.00779840846903,119,0.25,0.125001398296
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-384838778.741,1054032.36397,-384838778.741,-384093465.309,-385584092.173,-385509560.83,-384167996.652,2.0,1110984224290.0,0.249546279492,1.83230531396e-13,0.00389957098961,20,0.125018050542,0.124995105963
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-397937591.007,2562415.61587,-397937591.007,-396125689.548,-399749492.465,-399568302.319,-396306879.694,2.0,6565973788440.0,0.250453720508,1.83230531396e-13,0.0156531386514,34,0.25,0.249996504259
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-400947482.273,7266892.49024,-400947482.273,-395809013.315,-406085951.231,-405572104.335,-396322860.21,2.0,52807726464700.0,0.250453720508,1.83230531396e-13,0.00782637233343,9,0.25,0.124995105963
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-411798067.138,841591.970576,-411798067.138,-411202971.748,-412393162.527,-412333652.988,-411262481.287,2.0,708277044937.0,0.249546279492,1.83230531396e-13,0.0155968605555,89,0.25,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-423640597.082,2557523.41636,-423640597.082,-421832154.931,-425449039.232,-425268195.017,-422012999.146,2.0,6540926025250.0,0.249546279492,1.83230531396e-13,0.0077993382861,45,0.125018050542,0.249996504259
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-432415074.683,2767364.49644,-432415074.683,-430458252.482,-434371896.885,-434176214.665,-430653934.702,2.0,7658306256160.0,0.125226860254,1.83230531396e-13,0.00391395921408,100,0.125018050542,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-434404695.522,992706.587926,-434404695.522,-433702745.962,-435106645.082,-435036450.126,-433772940.918,2.0,985466369711.0,0.125226860254,1.83230531396e-13,0.00391281804952,103,0.249963898917,0.125001398296
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-474331776.773,4583815.7183,-474331776.773,-471090529.595,-477573023.951,-477248899.233,-471414654.312,2.0,21011366539400.0,0.250453720508,1.83230531396e-13,0.0156535764121,59,0.25,0.250003495741
