,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
13,19,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,903226189.06,56619.2316204,903224295.935,903294490.867,903161673.504,903168099.577,903286928.9189999,4.0,3205737389.29,0.111090154659,0.111374407583,0.00137493566096,0.111127462523,152,4.3848457759400005e-12
14,21,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,901763528.522,47234.1128145,901772296.278,901810734.027,901698787.503,901708653.485,901806128.6989999,4.0,2231061413.37,0.111090154659,0.111374407583,0.00137493566096,0.111127462523,162,4.3848457759400005e-12
15,23,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,900175924.634,75239.9348297,900153565.9430001,900284838.028,900111728.623,900117976.96,900265174.4760001,4.0,5661047793.18,0.111090154659,0.111374407583,0.00137505704665,0.11113727336899999,172,4.3848457759400005e-12
16,25,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,898620404.241,40944.30160369999,898601943.256,898681414.791,898596315.663,898596447.146,898670206.717,4.0,1676435833.82,0.111090154659,0.111374407583,0.00137505704665,0.11113727336899999,182,4.3848457759400005e-12
17,27,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,897092556.474,46172.535649900005,897102479.5519999,897137382.511,897027884.28,897038794.7969999,897132425.8410001,4.0,2131903048.34,0.111090154659,0.111374407583,0.000687528523325,0.055568636684699996,192,4.3848457759400005e-12
18,10,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,867263876.043,131098.334326,867253602.7939999,867428671.482,867119627.102,867133553.415,867408581.219,4.0,17186773262.9,0.111090154659,0.0556872037915,0.000686860902054,0.11102935405400001,111,4.3848457759400005e-12
19,12,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,867102881.3889999,116381.012552,867150525.2310001,867180134.845,866930340.251,866961368.975,867177692.4260001,4.0,13544540082.5,0.111090154659,0.0556872037915,0.000687467830482,0.111127462523,121,4.3848457759400005e-12
20,14,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,865900148.3510001,152287.336884,865871217.5830001,866107549.374,865750608.866,865763372.4510001,866077427.3280001,4.0,23191432975.2,0.111090154659,0.0556872037915,0.000687528523325,0.11113727336899999,131,4.3848457759400005e-12
21,17,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,864327595.155,91113.8532986,864346143.732,864414733.447,864203359.7080001,864221119.0710001,864408103.23,4.0,8301734262.91,0.111090154659,0.0556872037915,0.000687528523325,0.11113727336899999,141,4.3848457759400005e-12
22,18,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,862889081.642,385736.24099099997,862910891.463,863247790.132,862486753.511,862508631.29,863238998.245,4.0,148792447614.0,0.111090154659,0.0556872037915,0.000687467830482,0.111127462523,151,4.3848457759400005e-12
23,9,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,862099447.678,32502.0019287,862094682.489,862140365.012,862068060.723,862069768.377,862135798.244,4.0,1056380129.37,0.111090154659,0.0556872037915,0.00034315733323500005,0.055470528216,101,4.3848457759400005e-12
24,20,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,861199866.161,187595.397995,861139879.9039999,861467579.518,861052125.3180001,861057877.838,861425835.244,4.0,35192033348.8,0.111090154659,0.0556872037915,0.000687467830482,0.111127462523,161,4.3848457759400005e-12
25,22,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,859572681.1010001,238799.87378000002,859615804.3360001,859776123.898,859282991.8330001,859311164.2080001,859773825.464,4.0,57025379717.4,0.111090154659,0.0556872037915,0.000687528523325,0.11113727336899999,171,4.3848457759400005e-12
26,24,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,857730730.8039999,91832.68427639999,857727338.479,857817645.9289999,857650600.3310001,857650835.293,857815375.5710001,4.0,8433241901.41,0.111090154659,0.0556872037915,0.000687528523325,0.11113727336899999,181,4.3848457759400005e-12
27,26,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,856243044.275,135943.814298,856261594.9660001,856382105.76,856066881.408,856089066.8610001,856371050.722,4.0,18480720645.9,0.111090154659,0.0556872037915,0.00034376426166300006,0.055568636684699996,191,4.3848457759400005e-12
28,32,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,811016579.124,167169.464015,811078792.605,811137063.021,810771668.265,810813496.72,811132562.6539999,4.0,27945629699.2,0.111137306677,0.111374407583,0.00137430487788,0.11102935405400001,213,4.3848457759400005e-12
29,35,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,809448977.8069999,106042.443448,809436577.1010001,809586223.415,809336533.614,809346859.523,809568457.082,4.0,11244999812.5,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,223,4.3848457759400005e-12
30,38,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,807893096.739,72519.0542715,807869352.2789999,807998152.634,807835529.766,807838769.877,807980665.847,4.0,5259013232.44,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,233,4.3848457759400005e-12
31,41,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,806261402.635,49629.050960500004,806273924.6939999,806300817.3989999,806196943.752,806204569.242,806300705.1439999,4.0,2463042699.24,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,243,4.3848457759400005e-12
32,44,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,804816169.537,154789.539949,804847748.1869999,804968235.22,804600946.5560001,804635741.74,804952387.225,4.0,23959801677.5,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,253,4.3848457759400005e-12
33,47,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,803203208.255,95269.8028604,803216969.39,803304364.773,803074529.47,803095078.009,803292072.913,4.0,9076335337.06,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,263,4.3848457759400005e-12
34,50,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,801722273.412,136836.768625,801701717.7889999,801899761.78,801585896.29,801595601.157,801877723.5389999,4.0,18724301247.7,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,273,4.3848457759400005e-12
35,53,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,800135443.0710001,96575.0357905,800143396.8280001,800225003.1860001,800029975.4419999,800037090.2110001,800222660.6719999,4.0,9326737537.93,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,283,4.3848457759400005e-12
36,56,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,798556477.1810001,43170.1911885,798549425.0660001,798612781.245,798514277.3460001,798517083.48,798605743.843,4.0,1863665407.25,0.111137306677,0.111374407583,0.000687820343581,0.055568636684699996,293,4.3848457759400005e-12
37,34,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,768510083.9369999,145343.538192,768517366.657,768662343.5239999,768343258.91,768357633.518,768652338.5469999,4.0,21124744094.0,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,222,4.3848457759400005e-12
38,31,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,768441354.97,116007.551111,768474413.8210001,768533174.658,768283417.579,768304709.0560001,768531718.492,4.0,13457751914.7,0.111137306677,0.111374407583,0.00137430487788,0.11102935405400001,212,4.3848457759400005e-12
39,37,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,767112984.7080001,336582.460527,767201078.244,767417759.935,766632022.408,766716173.107,767386465.358,4.0,113287752734.0,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,232,4.3848457759400005e-12
40,40,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,765557721.9360001,181192.952491,765630378.6719999,765677418.584,765292711.8169999,765337198.137,765676526.3060001,4.0,32830886032.5,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,242,4.3848457759400005e-12
41,43,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,763893811.635,361554.221502,763796634.6930001,764389423.008,763592554.148,763602794.114,764320876.876,4.0,130721455086.0,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,252,4.3848457759400005e-12
42,29,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,763424922.482,48839.972483599995,763420227.614,763476895.623,763382339.075,763382616.743,763473801.0339999,4.0,2385342912.2,0.111137306677,0.111374407583,0.0006866059715060001,0.055470528216,202,4.3848457759400005e-12
43,46,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,762428854.912,91972.5548742,762389239.265,762565931.983,762371009.133,762372673.51,762540498.218,4.0,8458950850.09,0.111137306677,0.111374407583,0.0013755192499600001,0.111127462523,262,4.3848457759400005e-12
44,49,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,760623383.05,107287.06463200001,760635685.723,760719031.332,760503129.423,760512082.765,760717459.594,4.0,11510514237.3,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,272,4.3848457759400005e-12
45,52,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,759053519.873,130645.41245599999,759076447.884,759168531.34,758892652.386,758909073.522,759165867.01,4.0,17068223795.9,0.111137306677,0.111374407583,0.0013756406871600001,0.11113727336899999,282,4.3848457759400005e-12
46,55,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,757311656.396,173980.13676199998,757276725.266,757536341.788,757156833.266,757162306.1439999,757509910.2310001,4.0,30269087987.7,0.111137306677,0.111374407583,0.000687820343581,0.055568636684699996,292,4.3848457759400005e-12
47,33,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,724520668.479,277834.424565,724511828.604,724867762.565,724191254.145,724234110.165,724819602.62,4.0,77191967473.4,0.111137306677,0.0556872037915,0.000687759624978,0.111127462523,221,4.3848457759400005e-12
48,36,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,724348983.9330001,314258.144033,724368946.126,724671956.232,723986087.248,724017649.787,724652371.009,4.0,98758181090.9,0.111137306677,0.0556872037915,0.000687820343581,0.11113727336899999,231,4.3848457759400005e-12
49,39,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,723367467.884,341305.258769,723306140.7030001,723832963.0560001,723024627.0760001,723057534.6539999,723763259.1689999,4.0,116489279663.0,0.111137306677,0.0556872037915,0.000687820343581,0.11113727336899999,241,4.3848457759400005e-12
50,30,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,722490201.475,248520.550012,722454618.614,722811031.142,722240537.53,722258621.945,722771597.01,4.0,61762463778.0,0.111137306677,0.0556872037915,0.00068715243894,0.11102935405400001,211,4.3848457759400005e-12
51,42,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,721809862.781,154641.48915799998,721759207.4369999,722035751.783,721685284.467,721695521.4369999,721995121.6060001,4.0,23913990169.1,0.111137306677,0.0556872037915,0.000687759624978,0.111127462523,251,4.3848457759400005e-12
52,45,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,719992877.612,374732.25062199996,719957517.55,720476624.138,719579851.21,719623875.027,720411384.2839999,4.0,140424259656.0,0.111137306677,0.0556872037915,0.000687759624978,0.111127462523,261,4.3848457759400005e-12
53,48,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,718770155.5639999,306390.69781700004,718795587.0689999,719105262.3010001,718384185.8189999,718431251.5630001,719073455.46,4.0,93875259709.1,0.111137306677,0.0556872037915,0.000687820343581,0.11113727336899999,271,4.3848457759400005e-12
54,51,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,717154398.115,414676.685162,717194934.589,717545352.7839999,716682370.5,716720006.641,717532038.526,4.0,171956753217.0,0.111137306677,0.0556872037915,0.000687820343581,0.11113727336899999,281,4.3848457759400005e-12
55,54,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,715325030.8460001,163016.346414,715309654.005,715538872.9339999,715141942.4410001,715167041.997,715504547.273,4.0,26574329198.1,0.111137306677,0.0556872037915,0.00034391017179100005,0.055568636684699996,291,4.3848457759400005e-12
56,28,522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,714327907.759,105946.885167,714336753.848,714444892.796,714193230.546,714210393.2030001,714433037.791,4.0,11224742476.6,0.111137306677,0.0556872037915,0.00034330298575300003,0.055470528216,201,4.3848457759400005e-12
57,63,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,713099917.489,152962.820841,713042132.99,713326242.994,712989160.98,712996581.367,713284151.908,4.0,23397624559.7,0.111137306677,0.11018957346,0.0013596846132200003,0.11102935405400001,314,4.3848457759400005e-12
58,67,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,711476464.532,143752.17463,711467746.3310001,711617825.165,711352540.303,711352554.257,711612580.29,4.0,20664687710.9,0.111137306677,0.11018957346,0.00136088606645,0.111127462523,324,4.3848457759400005e-12
59,71,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,710061402.472,175567.28229200002,710136408.512,710173199.897,709799592.968,709848704.507,710169091.982,4.0,30823870611.3,0.111137306677,0.11018957346,0.0013610062117699999,0.11113727336899999,334,4.3848457759400005e-12
60,75,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,708104953.398,78836.8562999,708104980.63,708196846.8,708013005.532,708022368.617,708187500.055,4.0,6215249911.26,0.111137306677,0.11018957346,0.0013610062117699999,0.11113727336899999,344,4.3848457759400005e-12
61,79,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,706788944.006,96074.4999161,706768562.9419999,706913823.6810001,706704826.4560001,706707521.6980001,706898899.8010001,4.0,9230309534.12,0.111137306677,0.11018957346,0.00136088606645,0.111127462523,354,4.3848457759400005e-12
62,83,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,705335722.82,202303.47198,705372669.6910001,705537867.86,705059684.037,705100832.1830001,705518887.8360001,4.0,40926694775.0,0.111137306677,0.11018957346,0.00136088606645,0.111127462523,364,4.3848457759400005e-12
63,86,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,703650651.908,236702.23452199998,703643806.835,703924066.6960001,703390927.268,703411829.876,703899057.0439999,4.0,56027947827.7,0.111137306677,0.11018957346,0.0013610062117699999,0.11113727336899999,374,4.3848457759400005e-12
64,91,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,702203076.445,76885.9994446,702208811.5419999,702283808.845,702110873.848,702120104.885,702278018.867,4.0,5911456910.59,0.111137306677,0.11018957346,0.0013610062117699999,0.11113727336899999,384,4.3848457759400005e-12
65,95,522.0,-366.0,-9208.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,700600300.012,144883.765997,700563023.6889999,700805221.984,700469930.6880001,700480211.6980001,700772575.18,4.0,20991305649.4,0.111137306677,0.11018957346,0.0006805031058840001,0.055568636684699996,394,4.3848457759400005e-12
