npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,425810075.254,295031.973252,425800496.92800003,426151974.58599997,425487332.573,425513123.181,426120436.98300004,4.0,87043865240.8,0.25,0.12498620562799999,1.04066742269e-12,0.00783246888603,79,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,424610412.089,527239.212618,424739361.089,425097264.255,423865661.922,423986648.886,425053646.691,4.0,277981187322.0,0.25,0.249990803752,1.04066742269e-12,0.00783304518423,56,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,419891076.231,163033.073706,419928074.04800004,420044844.136,419663312.693,419698945.249,420031410.27,4.0,26579783121.9,0.25,0.12498620562799999,1.04066742269e-12,0.00391623444301,51,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,407102188.185,399025.51504699996,407034023.636,407586136.54300004,406754568.925,406760781.127,407539025.611,4.0,159221361659.0,0.25,0.249990803752,1.04066742269e-12,0.015666090368500002,84,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,403023825.46199995,637249.081122,402732721.835,403977966.351,402651891.82699996,402663215.08699995,403791980.915,4.0,406086391390.0,0.25,0.250009196248,1.04066742269e-12,0.00783362148244,61,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,387631199.76199996,366856.766369,387671599.193,387988832.32199997,387192768.34,387234524.744,387971315.576,4.0,134583887030.0,0.25,0.250009196248,1.04066742269e-12,0.015667242964899998,89,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,382156843.88199997,260915.886923,382158074.688,382405792.44699997,381905433.705,381913509.3,382398455.335,4.0,68077100049.1,0.25,0.250009196248,1.04066742269e-12,0.00783362148244,66,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,367911231.857,483383.988882,367847079.27199996,368538119.948,367412648.935,367453819.22300005,368458458.11,4.0,233660080708.0,0.25,0.250009196248,1.04066742269e-12,0.015667242964899998,94,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,360564642.933,575315.5553359999,360646184.143,361119254.325,359846949.12,359924809.226,361090318.945,4.0,330987988212.0,0.25,0.125004598124,1.04066742269e-12,0.00391681074122,71,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,347657430.879,229507.89841,347675690.94699997,347914520.708,347363820.916,347403061.943,347886235.72199994,4.0,52673875432.6,0.25,0.125004598124,1.04066742269e-12,0.00783362148244,99,0.250666666667
