npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1058117147.71,7236484.707,1058117147.71,1063234115.12,1053000180.31,1053511877.05,1062722418.38,2.0,52366710914600.0,15,0.124991734973,0.00390621683414,0.25,0.125007204196,1.74117872884e-13
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1024002509.97,4982320.27968,1024002509.97,1027525542.43,1020479477.52,1020831780.76,1027173239.18,2.0,24823515369300.0,109,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1020328846.32,6886059.93837,1020328846.32,1025198026.0,1015459666.65,1015946584.61,1024711108.03,2.0,47417821474800.0,29,0.249995200952,0.00778976974847,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1009281612.19,5335323.81716,1009281612.19,1013054255.84,1005508968.54,1005886232.91,1012676991.48,2.0,28465680233900.0,65,0.250005865503,0.00781313356976,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,970941658.465,4220107.15035,970941658.465,973925724.848,967957592.081,968255998.72,973627318.21,2.0,17809304360400.0,54,0.250005865503,0.00779010205243,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,965306869.409,15702971.5757,965306869.409,976410547.095,954203191.723,955313559.491,975300179.326,2.0,246583316309000.0,90,0.250004799048,0.00781310024112,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,955646010.163,4389543.03359,955646010.163,958749885.809,952542134.518,952852522.083,958439498.244,2.0,19268088043700.0,4,0.124991734973,0.00389470210706,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,923888883.566,9626074.57919,923888883.566,930695546.177,917082220.955,917762887.216,930014879.916,2.0,92661311804100.0,115,0.125002399524,0.00390655012056,0.25,0.125007204196,1.74117872884e-13
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,915710157.021,8988996.40597,915710157.021,922066337.336,909353976.706,909989594.738,921430719.304,2.0,80802056386600.0,79,0.250004799048,0.00779006882203,0.124645892351,0.249985591609,1.74117872884e-13
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,895663099.787,1856546.68158,895663099.787,896975876.535,894350323.039,894481600.714,896844598.86,2.0,3446765580870.0,35,0.249995200952,0.00781280028334,0.25,0.125007204196,1.74117872884e-13
