smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-768405151.24,16656276.5943,-768892661.737,-752446221.985,-783389059.5,-783206310.622,-752921477.161,4.0,277431549987000.0,0.015652286397,4.95258127397e-14,89,0.250453720508,0.250000944804,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-803226898.213,32581948.6043,-795123073.256,-774191011.027,-848470435.312,-841823926.793,-775975224.572,4.0,1061583374860000.0,0.00782608404535,4.95258127397e-14,109,0.250453720508,0.249999055196,0.124990974078
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-846354007.866,10860562.3006,-841681259.559,-839652560.311,-862400952.036,-859588701.212,-839661162.15,4.0,117951813485000.0,0.0155978276082,4.95258127397e-14,68,0.249546279492,0.250000944804,0.250018051845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-850613803.972,27199547.5995,-842202500.109,-830049467.013,-888000748.66,-882832273.645,-830171159.709,4.0,739815389617000.0,0.00782608404535,4.95258127397e-14,81,0.125226860254,0.249999055196,0.249981948155
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-872383785.498,13833933.2165,-870597046.315,-858572127.298,-889768922.065,-887810126.51,-859458879.343,4.0,191377708237000.0,0.00389883191784,4.95258127397e-14,102,0.249546279492,0.124998488314,0.124990974078
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-889096638.701,16579335.3301,-884587053.957,-875904286.076,-911308160.813,-908445117.265,-876061578.777,4.0,274874359988000.0,0.0155955752144,4.95258127397e-14,88,0.249546279492,0.250000944804,0.249981948155
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-937248100.265,6794515.00072,-935700578.364,-930998261.675,-946592982.658,-945246076.069,-931416655.123,4.0,46165434095000.0,0.00779891969886,4.95258127397e-14,47,0.249546279492,0.125000566882,0.250018051845
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-951728355.363,10478086.0706,-951348255.006,-939550490.764,-964666420.675,-963056787.169,-940932064.056,4.0,109790287703000.0,0.00779772866837,4.95258127397e-14,108,0.249546279492,0.249999055196,0.124990974078
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-973414178.334,5114260.21624,-974505535.082,-966446877.269,-978198765.903,-977873483.109,-967426974.112,4.0,26155657559400.0,0.0155978276082,4.95258127397e-14,67,0.249546279492,0.250000944804,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-980670020.76,9906566.81513,-981270697.52,-970180556.433,-989958131.566,-989701801.048,-970797293.008,4.0,98140066062700.0,0.00391307159924,4.95258127397e-14,115,0.125226860254,0.250000944804,0.124990974078
