npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,501534990.869,556430.647167,501640842.276,502090439.613,500767839.311,500888511.015,502033278.753,4.0,309615065106.0,0.250009196248,1.0406674226900002e-12,94,0.25,0.250666666667,0.0156672429649
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,480366329.323,287942.618842,480380508.164,480703340.436,480000960.53,480054127.807,480658680.463,4.0,82910951745.7,0.125004598124,1.0406674226900002e-12,99,0.25,0.250666666667,0.00783362148244
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,477516325.541,294046.399919,477592753.487,477782829.323,477096965.866,477168295.646,477757356.311,4.0,86463285305.3,0.124986205628,1.0406674226900002e-12,78,0.25,0.249333333333,0.00779080681749
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,470245311.57,664503.513325,470275130.527,471018948.542,469412036.685,469523112.689,470925763.912,4.0,441564919222.0,0.249990803752,1.0406674226900002e-12,83,0.25,0.249333333333,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,448844309.941,323681.644274,448910174.982,449147457.055,448409432.747,448467902.643,449128506.183,4.0,104769806840.0,0.250009196248,1.0406674226900002e-12,88,0.25,0.249333333333,0.0155839065661
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,427164024.48,385408.024005,427085526.575,427642080.119,426842964.654,426845527.752,427592418.276,4.0,148539344967.0,0.250009196248,1.0406674226900002e-12,93,0.25,0.249333333333,0.0155839065661
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,406395749.264,324395.669592,406441352.54,406728592.032,405971699.945,406026800.774,406700853.169,4.0,105232550450.0,0.125004598124,1.0406674226900002e-12,98,0.25,0.249333333333,0.00779195328306
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,392852742.868,368025.916551,392785164.068,393357899.324,392482744.011,392520522.566,393279573.489,4.0,135443075253.0,0.249990803752,1.0406674226900002e-12,82,0.25,0.249333333333,0.0155827601005
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,392079622.202,258822.626167,392064260.492,392375138.029,391814829.796,391830237.077,392350513.722,4.0,66989151816.1,0.124986205628,1.0406674226900002e-12,77,0.25,0.249333333333,0.00779080681749
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,371988242.054,711195.68676,371915061.951,372864283.919,371258560.394,371308801.52,372770134.731,4.0,505799304867.0,0.250009196248,1.0406674226900002e-12,87,0.25,0.249333333333,0.0155839065661
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,350450165.419,220451.403089,350494680.623,350665946.828,350145353.6,350192598.462,350645411.089,4.0,48598821123.9,0.250009196248,1.0406674226900002e-12,92,0.25,0.249333333333,0.0155839065661
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,329331832.144,400888.890191,329282179.224,329851956.829,328911013.299,328948444.002,329784734.374,4.0,160711902278.0,0.125004598124,1.0406674226900002e-12,97,0.25,0.249333333333,0.00779195328306
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,326150050.09,311862.121806,326128493.34,326496601.744,325846611.935,325859144.226,326471135.403,4.0,97257983017.3,0.124986205628,1.0406674226900002e-12,105,0.125026522385,0.125333333333,0.00195853269302
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,313739458.047,276059.984261,313764032.883,314050224.636,313379541.787,313433385.436,314011125.888,4.0,76209114910.4,0.249990803752,1.0406674226900002e-12,81,0.25,0.125333333333,0.00783304518423
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,306922748.476,149965.975009,306897574.968,307104746.074,306791097.894,306793759.557,307086980.307,4.0,22489793660.5,0.124986205628,1.0406674226900002e-12,76,0.25,0.125333333333,0.00391623444301
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,305252282.862,372539.45721,305226365.084,305727812.443,304828588.839,304877989.054,305662861.561,4.0,138785647178.0,0.249990803752,1.0406674226900002e-12,110,0.125026522385,0.125333333333,0.00391735359627
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,292186396.478,188977.96184,292248941.658,292332678.444,291915024.152,291958178.55,292327051.155,4.0,35712670061.1,0.250009196248,1.0406674226900002e-12,86,0.25,0.125333333333,0.00783362148244
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,284185768.919,174404.987896,284152931.116,284415327.184,284021886.259,284031183.137,284386327.624,4.0,30417099803.1,0.250009196248,1.0406674226900002e-12,115,0.125026522385,0.125333333333,0.00391764180651
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,271009363.809,501139.151321,271080747.583,271533079.063,270342881.008,270436873.513,271481916.822,4.0,251140448987.0,0.250009196248,1.0406674226900002e-12,91,0.25,0.125333333333,0.00783362148244
