smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-68441564.1412,5902978.79479,-67676103.9936,-63364742.7565,-75049305.8209,-74561129.3871,-63393643.1018,4.0,34845158651700.0,3.46688419418e-13,0.124990974078,0.12498974865,0.250453720508,0.00391273589804,104
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-75827283.4266,4470852.59185,-75952492.1642,-70264083.8101,-81140065.568,-80454357.4459,-71024917.1748,4.0,19988522898100.0,3.46688419418e-13,0.124990974078,0.125002976198,0.125226860254,0.00195657498961,125
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-103666735.623,2996285.95534,-103434149.545,-100602555.09,-107196088.31,-106868480.748,-100790611.006,4.0,8977729526160.0,3.46688419418e-13,0.249981948155,0.250007275152,0.249546279492,0.0155959701145,92
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-105219382.308,3361720.5328,-105093874.987,-101468979.268,-109220799.99,-108808389.281,-101806085.585,4.0,11301164940700.0,3.46688419418e-13,0.124990974078,0.250007275152,0.250453720508,0.00782634136657,114
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-152299249.814,1307541.19763,-151752065.74,-151461496.445,-154231371.333,-153892209.683,-151472347.65,4.0,1709663983490.0,3.46688419418e-13,0.249981948155,0.125002976198,0.249546279492,0.00779794379918,97
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-156115372.361,5183907.23754,-156891712.925,-149173513.071,-161504550.525,-160969251.812,-150174616.122,4.0,26872894247400.0,3.46688419418e-13,0.249981948155,0.249992724848,0.125226860254,0.00782588587727,81
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-159370102.246,6883414.42735,-161875809.399,-149216354.728,-164512435.458,-164139408.109,-151092806.369,4.0,47381394178700.0,3.46688419418e-13,0.124990974078,0.250007275152,0.250453720508,0.00782634136657,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-197161799.672,2169154.23969,-198069453.623,-193970211.982,-198538079.459,-198533823.152,-194519060.66,4.0,4705230115550.0,3.46688419418e-13,0.249981948155,0.250007275152,0.125226860254,0.00782634136657,86
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-206283732.177,4751126.96215,-205474154.103,-201452860.545,-212733759.959,-211773356.469,-201927517.19,4.0,22573207410500.0,3.46688419418e-13,0.124990974078,0.125002976198,0.250453720508,0.00391314997922,124
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-219336161.051,2316509.31763,-219726914.956,-216453279.244,-221437535.049,-221366678.406,-216758588.23,4.0,5366215418660.0,3.46688419418e-13,0.249981948155,0.12498974865,0.125226860254,0.00391273589804,76
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-222587683.132,5273413.26652,-223655874.009,-215828710.301,-227210274.21,-227075286.304,-216604612.733,4.0,27808887479500.0,3.46688419418e-13,0.124990974078,0.249992724848,0.249546279492,0.00779753121829,108
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-230809794.715,6570559.2255,-228310911.986,-226081479.589,-240535875.298,-238731043.935,-226386981.316,4.0,43172248535800.0,3.46688419418e-13,0.124990974078,0.12498974865,0.249546279492,0.0038985593187,103
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-243668807.384,6282413.02263,-246108396.069,-234395524.315,-248062913.083,-247885973.941,-236036216.668,4.0,39468713386900.0,3.46688419418e-13,0.249981948155,0.250007275152,0.125226860254,0.00782634136657,91
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-265041848.647,8160046.24838,-268499510.785,-252876249.75,-270292123.266,-270079459.321,-255163510.979,4.0,66586354775700.0,3.46688419418e-13,0.124990974078,0.250007275152,0.249546279492,0.00779798505727,113
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-290490234.716,4749993.90224,-290221729.937,-285300899.954,-296216579.036,-295614012.88,-285742363.242,4.0,22562442071300.0,3.46688419418e-13,0.249981948155,0.125002976198,0.125226860254,0.00391314997922,96
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-309543188.816,3547104.82414,-308322007.52,-306940371.329,-314588368.894,-313817282.63,-306978748.816,4.0,12581952633400.0,3.46688419418e-13,0.124990974078,0.250007275152,0.249546279492,0.00779798505727,118
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-350733968.552,6193666.67734,-349393664.6,-344935044.973,-359213500.033,-357999502.282,-345344860.353,4.0,38361506909900.0,3.46688419418e-13,0.124990974078,0.125002976198,0.249546279492,0.00389897189959,123
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-368425040.349,5431838.69014,-367591531.389,-362900990.739,-375616107.879,-374647174.137,-363369819.105,4.0,29504871555700.0,3.46688419418e-13,0.124990974078,0.249992724848,0.249546279492,0.00779753121829,107
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-395385852.92,5504035.10231,-396363687.65,-388475072.435,-400340963.945,-400177283.955,-389225453.263,4.0,30294402407400.0,3.46688419418e-13,0.124990974078,0.12498974865,0.249546279492,0.0038985593187,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-417332461.424,2938973.03008,-416127730.824,-415378377.508,-421696006.539,-420901976.416,-415449569.271,4.0,8637562471540.0,3.46688419418e-13,0.124990974078,0.250007275152,0.249546279492,0.00779798505727,112
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-460747352.88,4162812.5911,-461979961.074,-454774642.598,-464254846.771,-464018216.661,-455750837.626,4.0,17329008668600.0,3.46688419418e-13,0.124990974078,0.250007275152,0.249546279492,0.00779798505727,117
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-506596133.311,3740753.62333,-506941039.955,-501743109.315,-510759344.02,-510284824.162,-502424573.159,4.0,13993237670400.0,3.46688419418e-13,0.124990974078,0.125002976198,0.249546279492,0.00389897189959,122
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-519894917.899,2905986.08549,-519705735.638,-516650414.046,-523517786.273,-523080590.83,-516974100.133,4.0,8444755129080.0,3.46688419418e-13,0.124990974078,0.249992724848,0.125226860254,0.00391294293863,106
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-560883872.916,4597088.89569,-561081876.997,-556346477.043,-565025260.627,-564970222.942,-556520317.177,4.0,21133226314900.0,3.46688419418e-13,0.124990974078,0.12498974865,0.125226860254,0.00195636794902,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-573643318.471,7170951.14694,-572519216.075,-566177195.101,-583357646.635,-581867266.454,-566993113.844,4.0,51422540351800.0,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,111
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-618750688.995,5717844.78873,-618614398.076,-612246239.22,-625527720.608,-624822898.105,-612869287.171,4.0,32693749028000.0,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,116
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-661303486.288,2182035.44749,-661065301.62,-659349454.611,-663733887.303,-663557227.35,-659383203.763,4.0,4761278694090.0,3.46688419418e-13,0.124990974078,0.125002976198,0.125226860254,0.00195657498961,121
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-161261826427.0,1638.10943386,-161261826422.0,-161261824426.0,-161261828436.0,-161261828145.0,-161261824715.0,4.0,2683402.51732,3.46688419418e-13,0.124990974078,0.12498974865,0.125226860254,0.00195636794902,1
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-161307121335.0,758.186900467,-161307121365.0,-161307120412.0,-161307122198.0,-161307122110.0,-161307120517.0,4.0,574847.37604,3.46688419418e-13,0.124990974078,0.249992724848,0.125226860254,0.00391294293863,6
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-161352420770.0,1069.33537324,-161352420960.0,-161352419376.0,-161352421783.0,-161352421726.0,-161352419548.0,4.0,1143478.14046,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,11
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-161397720388.0,1403.79319202,-161397720426.0,-161397718969.0,-161397721731.0,-161397721688.0,-161397719034.0,4.0,1970635.32595,3.46688419418e-13,0.124990974078,0.250007275152,0.125226860254,0.00391317068328,16
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-161443019574.0,730.307128796,-161443019569.0,-161443018809.0,-161443020350.0,-161443020301.0,-161443018855.0,4.0,533348.50237,3.46688419418e-13,0.124990974078,0.125002976198,0.125226860254,0.00195657498961,21
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-571174256823.0,1622103.54752,-571174128878.0,-571172800769.0,-571175968769.0,-571175870587.0,-571172822184.0,4.0,2631219918880.0,3.46688419418e-13,0.250018051845,0.12498974865,0.249546279492,0.00779824473773,27
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-571219894397.0,1401956.80898,-571219707126.0,-571218524203.0,-571221639132.0,-571221450220.0,-571218600752.0,4.0,1965482894250.0,3.46688419418e-13,0.250018051845,0.249992724848,0.249546279492,0.0155973147564,32
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-571266153254.0,327751.700563,-571266276362.0,-571265672771.0,-571266387521.0,-571266379204.0,-571265754953.0,4.0,107421177222.0,3.46688419418e-13,0.250018051845,0.250007275152,0.249546279492,0.0155982225654,37
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-571311696402.0,1015700.99963,-571311412828.0,-571310823261.0,-571313136688.0,-571312911197.0,-571310878608.0,4.0,1031648520640.0,3.46688419418e-13,0.250018051845,0.250007275152,0.249546279492,0.0155982225654,42
