smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1230131938.17,16333.8940296,-1230131938.17,-1230120388.36,-1230143487.97,-1230142332.99,-1230121543.34,2.0,266796094.172,114,3.66466187075e-13,0.00779856113348,0.249546279492,0.125003845369,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1241526150.6,20759.5420699,-1241526150.6,-1241511471.39,-1241540829.81,-1241539361.89,-1241512939.31,2.0,430958586.95,9,3.66466187075e-13,0.00782604400407,0.250453720508,0.12498986221,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1249201300.22,45344.4373128,-1249201300.22,-1249169236.86,-1249233363.58,-1249230157.24,-1249172443.2,2.0,2056117995.22,34,3.66466187075e-13,0.0156529635417,0.250453720508,0.249993707579,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1288951795.13,47900.4277886,-1288951795.13,-1288917924.41,-1288985665.85,-1288982278.78,-1288921311.48,2.0,2294450982.33,59,3.66466187075e-13,0.0156537515218,0.250453720508,0.250006292421,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1327812473.14,597298.933618,-1327812473.14,-1327390119.02,-1328234827.27,-1328192591.86,-1327432354.43,2.0,356766016101.0,25,3.66466187075e-13,0.00195679352968,0.125226860254,0.12498986221,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1329402273.05,1017670.81033,-1329402273.05,-1328682671.12,-1330121874.98,-1330049914.79,-1328754631.31,2.0,1035653878200.0,84,3.66466187075e-13,0.0156537515218,0.250453720508,0.250006292421,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1367772779.11,1033268.83758,-1367772779.11,-1367042147.71,-1368503410.52,-1368430347.38,-1367115210.85,2.0,1067644490720.0,50,3.66466187075e-13,0.00391380597435,0.125226860254,0.249993707579,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1369187848.44,322385.363818,-1369187848.44,-1368959887.56,-1369415809.32,-1369393013.23,-1368982683.65,2.0,103932322804.0,109,3.66466187075e-13,0.0078269195376,0.250453720508,0.125003845369,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1389416522.74,201144.155895,-1389416522.74,-1389274292.35,-1389558753.14,-1389544530.1,-1389288515.39,2.0,40458971450.7,4,3.66466187075e-13,0.00391302200204,0.125226860254,0.12498986221,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1389958191.79,612318.594211,-1389958191.79,-1389525217.16,-1390391166.42,-1390347868.96,-1389568514.63,2.0,374934060817.0,29,3.66466187075e-13,0.00782648177084,0.125226860254,0.249993707579,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1406865275.31,712358.188679,-1406865275.31,-1406361562.01,-1407368988.62,-1407318617.29,-1406411933.34,2.0,507454188978.0,75,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1429777766.59,1299801.20926,-1429777766.59,-1428858668.35,-1430696864.84,-1430604955.02,-1428950578.17,2.0,1689483183600.0,54,3.66466187075e-13,0.00782687576092,0.125226860254,0.250006292421,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1446660478.68,133171.204888,-1446660478.68,-1446566312.42,-1446754644.95,-1446745228.32,-1446575729.05,2.0,17734569811.4,100,3.66466187075e-13,0.00391400299785,0.125226860254,0.250006292421,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1470352118.05,552442.435297,-1470352118.05,-1469961482.25,-1470742753.84,-1470703690.26,-1470000545.83,2.0,305192644317.0,79,3.66466187075e-13,0.00782687576092,0.125226860254,0.250006292421,0.25
