smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-67223750.614,11352207.7235,-67223750.614,-59196527.5512,-75250973.6767,-74448251.3704,-59999249.8575,2.0,128872620198000.0,0.00779840846903,1.83230531396e-13,0.125001398296,0.25,119,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-86697406.5428,5592658.07471,-86697406.5428,-82742800.0934,-90652012.9923,-90256552.3474,-83138260.7383,2.0,31277824340600.0,0.0156531386514,1.83230531396e-13,0.249996504259,0.25,34,0.250453720508
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-93072730.1815,3576410.91318,-93072730.1815,-90543825.7725,-95601634.5905,-95348744.1496,-90796716.2134,2.0,12790715019900.0,0.00782637233343,1.83230531396e-13,0.124995105963,0.25,9,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-104699241.539,621384.266294,-104699241.539,-104259856.511,-105138626.568,-105094688.065,-104303795.014,2.0,386118406397.0,0.0155968605555,1.83230531396e-13,0.250003495741,0.25,89,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-123165482.282,12037510.3817,-123165482.282,-114653677.063,-131677287.502,-130826106.98,-115504857.585,2.0,144901656190000.0,0.00391395921408,1.83230531396e-13,0.250003495741,0.125018050542,75,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-144984232.424,8580861.11632,-144984232.424,-138916647.34,-151051817.508,-150445058.999,-139523405.849,2.0,73631177497600.0,0.00389957098961,1.83230531396e-13,0.124995105963,0.125018050542,20,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-166836484.333,3727319.39168,-166836484.333,-164200871.515,-169472097.15,-169208535.868,-164464432.797,2.0,13892909847600.0,0.0156535764121,1.83230531396e-13,0.250003495741,0.25,59,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-176857346.428,316709.164912,-176857346.428,-176633399.229,-177081293.626,-177058898.906,-176655793.949,2.0,100304695139.0,0.0077993382861,1.83230531396e-13,0.249996504259,0.125018050542,45,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-181629953.967,4000410.21092,-181629953.967,-178801236.779,-184458671.154,-184175799.435,-179084108.498,2.0,16003281855600.0,0.00779840846903,1.83230531396e-13,0.125001398296,0.25,114,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-202002724.167,7164674.74464,-202002724.167,-196936534.07,-207068914.264,-206562295.254,-197443153.08,2.0,51332564196500.0,0.00391395921408,1.83230531396e-13,0.250003495741,0.125018050542,100,0.125226860254
